
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
OR                               OR7                               19   1      9   9   1 11         11 0                     (0-0-0)
OR                               OR7                               19   1     10  10   1 10         10 0                     (0-0-0)
OR                               OR7                               19   1     11  11   1 9           9 0                     (0-0-0)
OR                               OR7                               19   1     12  12   1 8           8 0                     (0-0-0)
OR                               OR7                                0   2      1   1   2 14         14 1 VCC                 (0-0-0)
OR                               OR7                                0   3      1   1   3 7           7 1 GND                 (0-0-0)
OR                               OR8                               20   1      1   1   1 1           1 0 7_12                (2-34-13)
OR                               OR8                               20   1      2   2   1 2           2 0 7_13                (2-36-13)
OR                               OR8                               20   1      3   3   1 3           3 0 OVER                (2-46-13)
OR                               OR8                               20   1      4   4   1 4           4 0                     (0-0-0)
OR                               OR8                               20   1      5   5   1 5           5 0                     (0-0-0)
OR                               OR8                               20   1      6   6   1 6           6 0                     (0-0-0)
OR                               OR8                               20   1      7   7   1 13         13 0                     (0-0-0)
OR                               OR8                               20   1      8   8   1 12         12 0                     (0-0-0)
OR                               OR8                               20   1      9   9   1 11         11 0                     (0-0-0)
OR                               OR8                               20   1     10  10   1 10         10 0                     (0-0-0)
OR                               OR8                               20   1     11  11   1 9           9 0                     (0-0-0)
OR                               OR8                               20   1     12  12   1 8           8 0                     (0-0-0)
OR                               OR8                                0   2      1   1   2 14         14 1 VCC                 (0-0-0)
OR                               OR8                                0   3      1   1   3 7           7 1 GND                 (0-0-0)
XOR                              XOR1                               8   1      1   1   1 1           1 0 OpSel0A,OpSel1      (22-31-13)
XOR                              XOR1                               8   1      2   2   1 2           2 0 OpSel0B             (22-32-13)
XOR                              XOR1                               8   1      3   3   1 3           3 0 0_1                 (2-58-13)
XOR                              XOR1                               8   1      4   4   1 4           4 0 0_1                 (2-58-13)
XOR                              XOR1                               8   1      5   5   1 5           5 0 C0                  (2-51-13)
XOR                              XOR1                               8   1      6   6   1 6           6 0 0Y                  (2-39-13)
XOR                              XOR1                               8   1      7   7   1 13         13 0                     (0-0-0)
XOR                              XOR1                               8   1      8   8   1 12         12 0                     (0-0-0)
XOR                              XOR1                               8   1      9   9   1 11         11 0                     (0-0-0)
XOR                              XOR1                               8   1     10  10   1 10         10 0                     (0-0-0)
XOR                              XOR1                               8   1     11  11   1 9           9 0                     (0-0-0)
XOR                              XOR1                               8   1     12  12   1 8           8 0                     (0-0-0)
XOR                              XOR1                               0   2      1   1   2 14         14 1 VCC                 (0-0-0)
XOR                              XOR1                               0   3      1   1   3 7           7 1 GND                 (0-0-0)
XOR                              XOR2                               7   1      1   1   1 1           1 0 OpSel1A             (22-33-13)
XOR                              XOR2                               7   1      2   2   1 2           2 0 OpSel1B             (22-35-13)
XOR                              XOR2                               7   1      3   3   1 3           3 0 1_1                 (2-61-13)
XOR                              XOR2                               7   1      4   4   1 4           4 0 1_1                 (2-61-13)
XOR                              XOR2                               7   1      5   5   1 5           5 0 C1                  (2-52-13)
XOR                              XOR2                               7   1      6   6   1 6           6 0 1Y                  (2-42-13)
XOR                              XOR2                               7   1      7   7   1 13         13 0                     (0-0-0)
XOR                              XOR2                               7   1      8   8   1 12         12 0                     (0-0-0)
XOR                              XOR2                               7   1      9   9   1 11         11 0                     (0-0-0)
XOR                              XOR2                               7   1     10  10   1 10         10 0                     (0-0-0)
XOR                              XOR2                               7   1     11  11   1 9           9 0                     (0-0-0)
XOR                              XOR2                               7   1     12  12   1 8           8 0                     (0-0-0)
XOR                              XOR2                               0   2      1   1   2 14         14 1 VCC                 (0-0-0)
